# i |		 MEtot	|	 dMEtot 	|	 KEtot	|	 dKEtot 	|	 Pdvtot 	|	 dTEtot 	|	 Etot
393	,	7.75647e-05	,	6.72649e-07	,	5.16493e-05	,	5.67670e-06	,	2.16939e-05	,	5.91212e-07	,	1.50908e-04
394	,	7.84213e-05	,	6.85726e-07	,	5.32926e-05	,	5.90705e-06	,	2.22763e-05	,	6.02975e-07	,	1.53990e-04
395	,	7.93119e-05	,	6.97461e-07	,	5.49548e-05	,	6.14229e-06	,	2.28666e-05	,	6.14694e-07	,	1.57133e-04
396	,	8.02079e-05	,	7.14546e-07	,	5.66407e-05	,	6.37986e-06	,	2.34649e-05	,	6.26415e-07	,	1.60313e-04
397	,	8.11195e-05	,	7.33199e-07	,	5.83246e-05	,	6.61820e-06	,	2.40709e-05	,	6.37942e-07	,	1.63515e-04
398	,	8.20131e-05	,	7.23053e-07	,	6.00409e-05	,	6.86152e-06	,	2.46939e-05	,	6.48290e-07	,	1.66748e-04
399	,	8.30006e-05	,	7.74776e-07	,	6.17897e-05	,	7.11717e-06	,	2.53359e-05	,	6.61359e-07	,	1.70126e-04
400	,	8.40243e-05	,	7.96922e-07	,	6.35064e-05	,	7.36445e-06	,	2.59752e-05	,	6.72555e-07	,	1.73506e-04
401	,	8.51150e-05	,	8.20417e-07	,	6.52732e-05	,	7.62207e-06	,	2.66324e-05	,	6.84208e-07	,	1.77021e-04
402	,	8.62888e-05	,	8.39506e-07	,	6.71124e-05	,	7.87967e-06	,	2.73075e-05	,	6.95207e-07	,	1.80709e-04
403	,	8.75620e-05	,	8.58202e-07	,	6.90194e-05	,	8.14323e-06	,	2.79894e-05	,	7.06361e-07	,	1.84571e-04
404	,	8.88920e-05	,	8.67801e-07	,	7.09305e-05	,	8.40621e-06	,	2.86774e-05	,	7.16962e-07	,	1.88500e-04
405	,	9.02411e-05	,	8.73701e-07	,	7.28791e-05	,	8.66389e-06	,	2.93711e-05	,	7.26779e-07	,	1.92491e-04
406	,	9.15510e-05	,	8.69878e-07	,	7.49099e-05	,	8.93821e-06	,	3.00813e-05	,	7.37019e-07	,	1.96542e-04
407	,	9.28391e-05	,	8.55871e-07	,	7.69961e-05	,	9.21465e-06	,	3.08082e-05	,	7.46809e-07	,	2.00643e-04
408	,	9.39879e-05	,	8.40535e-07	,	7.91082e-05	,	9.50211e-06	,	3.15403e-05	,	7.56922e-07	,	2.04636e-04
409	,	9.50201e-05	,	8.38166e-07	,	8.13669e-05	,	9.77573e-06	,	3.22771e-05	,	7.66155e-07	,	2.08664e-04
410	,	9.59861e-05	,	8.38524e-07	,	8.37538e-05	,	1.00500e-05	,	3.30181e-05	,	7.75277e-07	,	2.12758e-04
411	,	9.70700e-05	,	8.47062e-07	,	8.63683e-05	,	1.03365e-05	,	3.37751e-05	,	7.85334e-07	,	2.17213e-04
412	,	9.82244e-05	,	8.70395e-07	,	8.91060e-05	,	1.06273e-05	,	3.45491e-05	,	7.95860e-07	,	2.21880e-04
413	,	9.94147e-05	,	8.82741e-07	,	9.16805e-05	,	1.09170e-05	,	3.53291e-05	,	8.05555e-07	,	2.26424e-04
414	,	1.00707e-04	,	8.99124e-07	,	9.39422e-05	,	1.12093e-05	,	3.61141e-05	,	8.15659e-07	,	2.30763e-04
415	,	1.02212e-04	,	9.04403e-07	,	9.59700e-05	,	1.14953e-05	,	3.69041e-05	,	8.24700e-07	,	2.35086e-04
416	,	1.03899e-04	,	9.14623e-07	,	9.79665e-05	,	1.17945e-05	,	3.77100e-05	,	8.34044e-07	,	2.39575e-04
417	,	1.05827e-04	,	9.12310e-07	,	1.00070e-04	,	1.20936e-05	,	3.85314e-05	,	8.42624e-07	,	2.44428e-04
418	,	1.07874e-04	,	9.05930e-07	,	1.02165e-04	,	1.24096e-05	,	3.93543e-05	,	8.52098e-07	,	2.49393e-04
419	,	1.10187e-04	,	8.86739e-07	,	1.04422e-04	,	1.27253e-05	,	4.01846e-05	,	8.60896e-07	,	2.54793e-04
420	,	1.12725e-04	,	8.48108e-07	,	1.06622e-04	,	1.30410e-05	,	4.10197e-05	,	8.68736e-07	,	2.60367e-04
421	,	1.15185e-04	,	7.87507e-07	,	1.08795e-04	,	1.33670e-05	,	4.18706e-05	,	8.75836e-07	,	2.65851e-04
422	,	1.17572e-04	,	7.33804e-07	,	1.10871e-04	,	1.36850e-05	,	4.27255e-05	,	8.82414e-07	,	2.71169e-04
423	,	1.19609e-04	,	7.07362e-07	,	1.12892e-04	,	1.40072e-05	,	4.35859e-05	,	8.89825e-07	,	2.76087e-04
424	,	1.21596e-04	,	6.98598e-07	,	1.14996e-04	,	1.43294e-05	,	4.44510e-05	,	8.97939e-07	,	2.81043e-04
425	,	1.23431e-04	,	6.74542e-07	,	1.17182e-04	,	1.46628e-05	,	4.53327e-05	,	9.05935e-07	,	2.85946e-04
426	,	1.25046e-04	,	6.81100e-07	,	1.19352e-04	,	1.49926e-05	,	4.62093e-05	,	9.14505e-07	,	2.90608e-04
427	,	1.26681e-04	,	7.08562e-07	,	1.21480e-04	,	1.53332e-05	,	4.71024e-05	,	9.23660e-07	,	2.95264e-04
428	,	1.28235e-04	,	7.03567e-07	,	1.23485e-04	,	1.56729e-05	,	4.80008e-05	,	9.31460e-07	,	2.99721e-04
429	,	1.29537e-04	,	6.82850e-07	,	1.25731e-04	,	1.59942e-05	,	4.89058e-05	,	9.37746e-07	,	3.04173e-04
430	,	1.30688e-04	,	6.91929e-07	,	1.28359e-04	,	1.63349e-05	,	4.98264e-05	,	9.45950e-07	,	3.08874e-04
431	,	1.31786e-04	,	7.60365e-07	,	1.31293e-04	,	1.66737e-05	,	5.07440e-05	,	9.55723e-07	,	3.13822e-04
432	,	1.33175e-04	,	8.77419e-07	,	1.34400e-04	,	1.69736e-05	,	5.16849e-05	,	9.64289e-07	,	3.19260e-04
433	,	1.34927e-04	,	9.76506e-07	,	1.37234e-04	,	1.72694e-05	,	5.26162e-05	,	9.72480e-07	,	3.24776e-04
434	,	1.36957e-04	,	1.05104e-06	,	1.39608e-04	,	1.76100e-05	,	5.35719e-05	,	9.82449e-07	,	3.30136e-04
435	,	1.39282e-04	,	1.07221e-06	,	1.41609e-04	,	1.79331e-05	,	5.45303e-05	,	9.89805e-07	,	3.35421e-04
436	,	1.41613e-04	,	1.04624e-06	,	1.43643e-04	,	1.82126e-05	,	5.54984e-05	,	9.93128e-07	,	3.40755e-04
437	,	1.43911e-04	,	9.94950e-07	,	1.45931e-04	,	1.85292e-05	,	5.64646e-05	,	9.97865e-07	,	3.46307e-04
438	,	1.46142e-04	,	9.51263e-07	,	1.48408e-04	,	1.88821e-05	,	5.74410e-05	,	1.00460e-06	,	3.51991e-04
439	,	1.48323e-04	,	9.45869e-07	,	1.50884e-04	,	1.92350e-05	,	5.84297e-05	,	1.01169e-06	,	3.57637e-04
440	,	1.50401e-04	,	9.17177e-07	,	1.53449e-04	,	1.95466e-05	,	5.94195e-05	,	1.01580e-06	,	3.63269e-04
441	,	1.52608e-04	,	8.82610e-07	,	1.55962e-04	,	1.98506e-05	,	6.04079e-05	,	1.01981e-06	,	3.68978e-04
442	,	1.54963e-04	,	8.00473e-07	,	1.58327e-04	,	2.02079e-05	,	6.14072e-05	,	1.02590e-06	,	3.74697e-04
443	,	1.57119e-04	,	7.13919e-07	,	1.60526e-04	,	2.04877e-05	,	6.24043e-05	,	1.02812e-06	,	3.80050e-04
444	,	1.59242e-04	,	6.36052e-07	,	1.62663e-04	,	2.07705e-05	,	6.34158e-05	,	1.03089e-06	,	3.85321e-04
445	,	1.61302e-04	,	5.92769e-07	,	1.64543e-04	,	2.10916e-05	,	6.44242e-05	,	1.03558e-06	,	3.90269e-04
446	,	1.63547e-04	,	6.01223e-07	,	1.66358e-04	,	2.15252e-05	,	6.54411e-05	,	1.04647e-06	,	3.95347e-04
447	,	1.65873e-04	,	6.46820e-07	,	1.67779e-04	,	2.20278e-05	,	6.64694e-05	,	1.06139e-06	,	4.00121e-04
448	,	1.68225e-04	,	7.28821e-07	,	1.69020e-04	,	2.26152e-05	,	6.75068e-05	,	1.07917e-06	,	4.04752e-04
449	,	1.71028e-04	,	8.07219e-07	,	1.70112e-04	,	2.31884e-05	,	6.85767e-05	,	1.09576e-06	,	4.09717e-04
450	,	1.73449e-04	,	8.56236e-07	,	1.71391e-04	,	2.35150e-05	,	6.96398e-05	,	1.09847e-06	,	4.14480e-04
451	,	1.76290e-04	,	9.27484e-07	,	1.73336e-04	,	2.39046e-05	,	7.07221e-05	,	1.10599e-06	,	4.20348e-04
452	,	1.79178e-04	,	1.02404e-06	,	1.75209e-04	,	2.42181e-05	,	7.18017e-05	,	1.11067e-06	,	4.26188e-04
453	,	1.82090e-04	,	1.07849e-06	,	1.77493e-04	,	2.45644e-05	,	7.28850e-05	,	1.11497e-06	,	4.32468e-04
454	,	1.84854e-04	,	1.12741e-06	,	1.80250e-04	,	2.49090e-05	,	7.39783e-05	,	1.11962e-06	,	4.39082e-04
455	,	1.87535e-04	,	1.21465e-06	,	1.83150e-04	,	2.52788e-05	,	7.50802e-05	,	1.12629e-06	,	4.45765e-04
456	,	1.89914e-04	,	1.29393e-06	,	1.86221e-04	,	2.56398e-05	,	7.61838e-05	,	1.13248e-06	,	4.52318e-04
457	,	1.92157e-04	,	1.36763e-06	,	1.89628e-04	,	2.59944e-05	,	7.72859e-05	,	1.13561e-06	,	4.59071e-04
458	,	1.94487e-04	,	1.41699e-06	,	1.93043e-04	,	2.66233e-05	,	7.84041e-05	,	1.15113e-06	,	4.65934e-04
459	,	1.96908e-04	,	1.48419e-06	,	1.96805e-04	,	2.71110e-05	,	7.95367e-05	,	1.15974e-06	,	4.73250e-04
460	,	1.99412e-04	,	1.61563e-06	,	2.00749e-04	,	2.75336e-05	,	8.06793e-05	,	1.16976e-06	,	4.80840e-04
461	,	2.02477e-04	,	1.74748e-06	,	2.04152e-04	,	2.78156e-05	,	8.18326e-05	,	1.17966e-06	,	4.88462e-04
462	,	2.05955e-04	,	1.82682e-06	,	2.06039e-04	,	2.73017e-05	,	8.29726e-05	,	1.14565e-06	,	4.94966e-04
463	,	2.09511e-04	,	1.80282e-06	,	2.06591e-04	,	2.84072e-05	,	8.41107e-05	,	1.17874e-06	,	5.00213e-04
464	,	2.12806e-04	,	1.79481e-06	,	2.07098e-04	,	2.94021e-05	,	8.52848e-05	,	1.20475e-06	,	5.05190e-04
465	,	2.15841e-04	,	1.83376e-06	,	2.08145e-04	,	2.93743e-05	,	8.64599e-05	,	1.18913e-06	,	5.10446e-04
466	,	2.18954e-04	,	1.70036e-06	,	2.08386e-04	,	2.84507e-05	,	8.76079e-05	,	1.13392e-06	,	5.14948e-04
467	,	2.21912e-04	,	1.55093e-06	,	2.07422e-04	,	2.74401e-05	,	8.86895e-05	,	1.07509e-06	,	5.18024e-04
468	,	2.25467e-04	,	1.50856e-06	,	2.07038e-04	,	2.92278e-05	,	8.97640e-05	,	1.14269e-06	,	5.22269e-04
469	,	2.28910e-04	,	1.50133e-06	,	2.09611e-04	,	3.00765e-05	,	9.09075e-05	,	1.17639e-06	,	5.29428e-04
470	,	2.32864e-04	,	1.57881e-06	,	2.14473e-04	,	3.21014e-05	,	9.20978e-05	,	1.25585e-06	,	5.39435e-04
471	,	2.36872e-04	,	1.54427e-06	,	2.21667e-04	,	3.27376e-05	,	9.33435e-05	,	1.26558e-06	,	5.51882e-04
472	,	2.41735e-04	,	1.46326e-06	,	2.27474e-04	,	3.05726e-05	,	9.45311e-05	,	1.15825e-06	,	5.63740e-04
473	,	2.46880e-04	,	1.11767e-06	,	2.32048e-04	,	3.10524e-05	,	9.56328e-05	,	1.15840e-06	,	5.74561e-04
474	,	2.52566e-04	,	1.00676e-06	,	2.39275e-04	,	3.45432e-05	,	9.68267e-05	,	1.28437e-06	,	5.88667e-04
475	,	2.56970e-04	,	1.02854e-06	,	2.47852e-04	,	3.42883e-05	,	9.80635e-05	,	1.25683e-06	,	6.02885e-04
476	,	2.59744e-04	,	1.06505e-06	,	2.58155e-04	,	3.26661e-05	,	9.92634e-05	,	1.16075e-06	,	6.17162e-04
477	,	2.62084e-04	,	1.12139e-06	,	2.70590e-04	,	3.87613e-05	,	1.00453e-04	,	1.38111e-06	,	6.33127e-04
478	,	2.65246e-04	,	1.43571e-06	,	2.88271e-04	,	3.96292e-05	,	1.01853e-04	,	1.41799e-06	,	6.55370e-04
479	,	2.68328e-04	,	1.61645e-06	,	2.98707e-04	,	3.08557e-05	,	1.03063e-04	,	1.08729e-06	,	6.70098e-04
